T,Sa,E,Fy,uy,R,maxDisp,maxVel,maxAccel,Ec,Ev,maxReaction,CD,CPD,resDisp,solving_converge,iter_converge,n_iter,miu,tol_ductility,tol_R
2.02,0.25735849528354077,9.675134203597056,642.4087984253189,66.39792119746328,3.926025390625,132.80069797771242,462.3278877776559,776.1514141806756,237960.32464128704,204462.70888774123,776.1514141806595,3725.676056595102,377.461584760806,11.191487466238373,1.0,1.0,14.0,2.0000731285362296,3.656426811482483e-05,0.0006216585851050603
2.04,0.24459340706352964,9.486355633496114,630.1376698707227,66.42568486951095,3.803955078125,132.8458419157853,467.172743096479,763.5698378110601,225080.19039143936,198147.8356601728,763.5698378110478,3656.5617669506687,364.2120618208182,3.7713905307218605,1.0,1.0,14.0,1.9999167818405266,4.160907973671524e-05,0.0006416014371872193
2.06,0.23154219529003456,9.303048733235325,617.7249071313452,66.40026563813545,3.67333984375,132.78088842416233,471.34625846243637,750.6716246235947,212672.76164167142,192293.44178142847,750.6716246236001,3596.894060194582,351.16752441921824,-2.8008550705838835,1.0,1.0,14.0,1.999704175097497,0.00014791245125145291,0.001328374070138151
2.08,0.22415880959856677,9.12500406905451,636.0747875253887,69.70679494626195,3.45361328125,139.414411389855,479.851167493352,770.5387109638314,198372.97211311836,193900.02584407653,770.5387109638098,3610.3688102625792,318.1908774469514,-10.073002976153917,1.0,1.0,14.0,2.0000117850394887,5.892519744365998e-06,0.0014128284826222096
2.1,0.21774966320992267,8.952022132507354,666.6650660496426,74.47089117762467,3.200927734375,148.93884396966195,490.82935627840607,803.6046323335518,186492.4176692778,196813.8243343749,803.6046323335518,3640.8140904926067,285.37560423285777,-21.596945597246727,1.0,1.0,14.0,1.999960543166049,1.9728416975506313e-05,0.0007624275693809088
2.12,0.21098258278426962,8.783912781318403,700.728914365945,79.77412023674154,2.95068359375,159.54612447068655,503.1150677834047,840.5133818779395,177441.80798884813,200925.13889707637,840.5133818779394,3679.3726851735305,258.22914187285596,-41.815462536717305,1.0,1.0,14.0,1.9999734750719877,1.3262464006125185e-05,0.0016534391534391533
2.14,0.20383065411884352,8.62049471664718,734.3977668839129,85.19206739558756,2.719970703125,170.3874758565517,516.0625576860211,876.2769734765479,167711.5492126939,205417.1244464748,876.2769734765478,3714.5904084759727,232.64407664845808,-60.592670549540436,1.0,1.0,14.0,2.000039218033776,1.9609016888022524e-05,0.0008971828458639871
2.16,0.19639046686642925,8.461594994075238,763.8087832954136,90.26770766388941,2.519775390625,180.53429947364552,528.7187318122276,906.9221515051051,159485.8618684328,207739.18533157546,906.9221515051051,3721.552304607835,212.43618440833384,-73.88421980617709,1.0,1.0,14.0,1.9999876383907138,6.180804643096671e-06,0.000968429207824908
2.18,0.18870891394700284,8.307048565852503,795.6020137552622,95.77433037116406,2.324462890625,191.55099073589076,542.4348417275258,939.708270988596,149177.57380053948,211801.17049414598,939.708270988596,3739.190425530839,190.41076059634756,-87.4304476584594,1.0,1.0,15.0,2.000024327954616,1.2163977308077278e-05,0.0010497585555322277
2.2,0.18085884626060292,8.156697852139963,827.2355031879683,101.41794120410353,2.142578125,202.83516935667214,556.6591581797754,971.9410343651632,136586.2968529085,216872.9295492714,971.9410343651632,3765.8475845896637,167.34146705145164,-100.19977684152911,1.0,1.0,15.0,1.9999929691775788,3.5154112105750812e-06,0.009074410163339383
